SEARCH TIMES: 
0.15
0.25
0.38
0.47
0.62
0.76
0.88
1.05
1.09
1.47
1.4
2.32
1.72
1.82
2.2
1.82
2.08
2.16
2.16
2.22
2.84
2.73
2.67
2.71
2.82
3.01
3.29
3.46
3.67
3.83
3.9
3.8
4.14
3.85
4.1
4.03
3.98
4.44
4.98
4.72
4.21
4.95
5.55
4.72
5.17
5.27
5.07
5.3
6.93
5.9
5.93
5.97
6.04
6.66
6.51
6.44
6.79
7.74
7.5
6.4
7.06
7.37
7.48
7.01
8.75
6.87
7.85
7.48
7.49
8.03
7.71
8.28
8.47
8.98
8.53
8.37
9.48
9.03
9.94
9.53
9.08
10.43
9.04
11.6
10.44
9.3
9.73
10.23
9.42
11.13
10.42
10.34
10.58
10.23
11.09
11.26
11.79
11.86
10.84
11.16
12.17
13.58
12.67
12.88
11.46
12.32
12.84
13.81
12.44
12.61
13.44
13.57
14.85
13.51
14.48
13.36
14.69
15.37
13.66
13.63
13.47
15.48
14.51
15.08
14.41
15.22
14.27
14.62
16.02
14.98
15.63
14.69
16.81
15.84
16.44
17.9
15.79
16.33
16.4
17.53
16.34
14.89
15.95
18.46
18.47
19.1
20.73
20.15
18.76
16.35
16.84
16.41
15.42
19.13
16.97
17.42
16.5
17.28
18.08
18.91
20.02
20.49
19.59
19.77
18.66
22.18
19.34
20.9
17.74
22.31
19.6
23.41
20.34
18.98
22.41
24.21
21.18
20.3
20.62
21.82
23.73
21.28
22.41
23.35
19.12
21.1
21.92
21.8
22.07
23.01
24.23
21.91
21.71
22.26
25.78
25.05
23.79
24.08
24.66
25.04
21.7
24.94
26.01
26.31
25.5
24.86
23.33
24.44
25.11
23.56
25.67
24.24
27.06
28.76
27.99
25.02
26.74
25.18
21.5
26.54
26.49
28.25
28.71
26.49
28.24
26.22
29.76
26.56
26.84
25.83
30.33
27.3
25.3
28.09
27.9
26.15
27.81
27.47
31.07
27.37
30.22
29.49
28.39
28.89
28.5
29.65
30.18
30.04
28.39
31.16
34.62
27.84
27.54
30.32
31.03
28.44
28.87
33.15
34.42
29.36
34.08
27.65
31.67
33.77
33.04
33.54
28.75
42.81
37.49
32.73
44.36
32.49
31.72
31.35
32.22
39.23
30.89
35.53
37.43
33.44
31.94
35.25
28.87
37.99
31.07
32.28
32.92
33.59
33.81
43.45
36.15
30.69
38.55
37.66
36.51
35.16
36.31
37.48
32.65
38.79
37.03
32.87
38.37
39.49
37.41
38.34
40.8
34.54
34.92
37.69
36.07
39.38
36.4
35.03
39.29
35.58
39.1
39.79
40.94
36.25
38.98
36.71
42.91
42.66
41.01
39.57
41.22
39.47
36.89
40.87
39.48
39.87
35.37
41.16
39.19
40.3
39.45
42.13
44.6
38.35
39.58
42.99
38.78
37.54
44.7
46
46.02
39.95
42.95
41.84
47.96
39.21
41.9
42.51
42.88
43.76
44.53
41.79
41.74
42.44
37.42
43.52
46.06
44.17
46.02
39.63
47.11
49.01
46.85
46.96
44.75
47.53
46.39
45.13
50.88
44.31
45.55
42.71
47.85
45.04
40.3
49.7
52.57
44.67
46.74
48.13
48.99
51.36
43.76
47.05
46.62
44.77
42.66
46.92
45.98
50.15
52.06
47.94
48.22
47.29
==================================
INSERT TIMES: 
0.17
0.41
0.63
0.88
1.14
1.38
1.68
2.13
2.17
5.58
2.77
3.99
3.32
3.4
3.58
3.9
4.07
4.32
4.58
4.86
5.18
5.45
6.11
5.86
6.05
6.34
6.63
6.88
7.2
7.78
7.52
7.77
8
8.25
8.77
9.02
8.98
9.58
9.9
10.02
10.21
10.58
10.52
10.84
11.31
11.29
11.53
11.84
12.18
12.62
12.48
12.79
12.92
13.35
13.53
14.6
14.11
14.12
14.71
14.86
15.12
15.35
15.68
15.75
16.02
16.9
16.6
17.02
17.22
17.28
18.37
18.26
18.16
19.45
18.58
19.46
19.09
19.38
19.84
19.95
20.62
20.53
21.3
21.69
21.29
21.32
21.86
22.11
23
23.88
22.87
23.69
23.15
23.25
23.61
23.81
24.02
24.41
24.49
24.75
25.12
25.47
25.86
25.74
26.56
26.36
26.55
26.73
27.01
27.35
27.54
27.91
28.11
28.32
28.54
28.77
28.92
29.89
29.78
29.94
29.96
30.11
30.6
30.7
30.92
31.02
31.63
31.62
31.91
32.15
32.28
32.72
32.98
33.3
33.32
33.6
33.85
34.07
34.55
34.52
34.94
35.2
35.5
35.6
35.75
36.25
38.26
40.22
36.97
37.45
37.49
38
38.36
38.48
38.62
38.67
39.46
39.13
39.47
39.64
40.08
40.2
40.4
40.72
40.95
41.41
41.61
41.56
42.58
42.27
42.29
42.59
43.14
44.06
43.53
43.82
43.91
44.13
44.22
44.73
44.7
45.17
45.23
45.62
45.78
45.9
47.06
46.62
47.15
46.9
47.97
47.49
48.04
47.94
48.89
48.48
48.87
49.01
49.32
49.54
49.89
50.15
50.56
50.37
50.89
51
51.41
51.6
51.86
52.2
53.12
53.47
52.83
53.2
53.57
53.59
53.93
54.01
54.3
54.54
54.71
55.69
55.23
55.48
55.66
55.97
56
56.45
56.64
56.87
57.87
57.49
57.98
58.19
58.59
58.48
59.21
59.97
59.13
59.94
59.59
60.11
60.34
60.6
60.79
60.77
61.21
61.23
61.58
61.83
65.38
62.29
62.83
62.68
63.69
63.6
63.51
64.48
64.11
64.39
64.66
65.1
65.15
64.97
65.38
65.81
66.24
77.51
66.83
67.3
67.11
67.46
75.59
68.06
70.17
69.43
68.62
69.34
70.04
69.48
69.87
69.94
70.18
70.46
77.59
70.74
71.07
71.58
71.6
71.78
72.41
76.49
73.22
74.91
73.77
73.4
79.99
75.47
74.14
74.21
74.84
75.21
74.99
75.24
75.43
